MES_REF,TO_HEADCOUNT_HEADCOUNT-MES-ATUAL,TO_HEADCOUNT-TO_HEADCOUNT-MES-ATUAL,TO_ADMISSOES_ADMISSOES-MES-ATUAL,TO_DESLIGAMENTO_DESLIGAMENTO-MES-ATUAL,TO_DESLIGAMENTO_DESLIGAMENTO-VOLUNTARIO-MES-ATUAL,TO_DESLIGAMENTO_DESLIGAMENTO-INVOLUNTARIO-MES-ATUAL,TO_HEADCOUNT-CALCULADO_HEADCOUNT-CALCULADO-MES-ATUAL,TO_TURNOVER_TO-GERAL,TO_TURNOVER_TO-VOL-HEAD-GT-25,TO_DESLIGAMENTO_DESLIGAMENTO-VOL-HEAD-LT-25,TO_TURNOVER_TO-VOL,TO_TURNOVER_TO-INVOL,area_anonn
2023-07,9,8,0,0,0,0,8,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2024-07,6,6,0,0,0,0,6,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2022-10,10,9,0,0,0,0,9,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2022-12,10,9,0,1,0,1,10,10,0,0,0,10,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2024-03,10,10,0,0,0,0,10,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2024-08,6,6,0,0,0,0,6,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2022-09,10,9,0,0,0,0,9,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2023-02,9,8,0,0,0,0,8,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2022-11,11,10,0,0,0,0,10,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2024-06,6,6,0,0,0,0,6,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2024-04,9,9,0,1,1,0,10,10,0,1,10,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2023-12,10,10,0,0,0,0,10,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2023-11,10,9,0,0,0,0,9,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2024-09,6,6,0,0,0,0,6,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2023-05,9,8,0,0,0,0,8,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2024-02,10,10,0,0,0,0,10,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2023-06,9,8,0,0,0,0,8,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2023-04,9,8,0,0,0,0,8,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2023-03,9,8,0,0,0,0,8,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2023-08,9,8,0,0,0,0,8,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2023-10,9,8,0,0,0,0,8,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2024-01,10,10,0,0,0,0,10,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2023-09,9,8,0,0,0,0,8,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2024-05,9,9,0,0,0,0,9,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2023-01,10,9,0,0,0,0,9,0,0,0,0,0,34b6257d860feae8f954eeac24bccdec0f21a346fd90b2e08023ba1a302168a4
2023-06,6,6,0,0,0,0,6,0,0,0,0,0,3e0f396fe1eeda09b9aa3614717f8a2d2d8279f060a25076943e14a8c8034c72
